log_id,timestamp,employee_id,action,entity_type,entity_id,ip_address,device_type,location,status,severity,remarks
LOG-0000015,2021-01-05T10:51:56,EMP-20108,System Configuration Updated,Employee,EMP-20126,192.249.113.21,Desktop,Hyderabad,Success,Low,System configuration updated
LOG-0000016,2021-01-05T13:22:12,EMP-20101,Data Exported,Employee,EMP-20125,101.127.82.23,Laptop,Gurugram,Success,Low,Data export executed
LOG-0000017,2021-01-05T13:42:46,EMP-20115,Report Generated,Employee,EMP-20024,34.189.169.249,Laptop,Mumbai,Success,Low,Report generated successfully
LOG-0000018,2021-01-05T13:46:26,EMP-20066,Policy Triggered,Transaction,TXN-001494,134.134.23.84,Tablet,Noida,Success,Low,Risk policy triggered
LOG-0000019,2021-01-06T10:13:51,EMP-20062,Purchase Order Cancelled,Purchase Order,PO-2022-001298,147.19.41.233,Laptop,Pune,Success,Medium,Purchase order cancelled
LOG-0000020,2021-01-06T11:54:38,EMP-20141,Password Changed,Employee,EMP-20071,49.6.15.211,Laptop,Gurugram,Success,Medium,User password changed
LOG-0000021,2021-01-06T11:56:58,EMP-20130,Compliance Check Executed,Transaction,TXN-003067,185.148.213.132,Desktop,Mumbai,Success,Low,Compliance check executed
LOG-0000022,2021-01-06T12:15:04,EMP-20077,Invoice Rejected,Invoice,INV-2026-000544,20.93.88.88,Laptop,Mumbai,Success,Low,Invoice rejected during review
LOG-0000023,2021-01-06T17:18:39,EMP-20146,System Configuration Updated,Employee,EMP-20033,83.151.24.64,Laptop,Delhi,Success,Low,System configuration updated
LOG-0000024,2021-01-06T19:22:50,EMP-20095,Transaction Updated,Transaction,TXN-000590,137.225.177.253,Mobile,Bengaluru,Success,Low,Transaction record updated
LOG-0000025,2021-01-07T11:55:49,EMP-20086,Compliance Check Executed,Transaction,TXN-000711,104.243.152.118,Laptop,Mumbai,Success,Medium,Compliance check executed
LOG-0000026,2021-01-07T16:49:46,EMP-20127,Transaction Created,Transaction,TXN-003754,143.217.131.7,Desktop,Chennai,Success,Low,Transaction record created
LOG-0000027,2021-01-07T19:15:14,EMP-20118,Role Changed,Employee,EMP-20132,98.231.249.234,Desktop,Mumbai,Success,Low,Employee role changed
LOG-0000028,2021-01-08T08:43:08,EMP-20063,System Configuration Updated,Employee,EMP-20056,24.118.249.210,Mobile,Pune,Success,Low,System configuration updated
LOG-0000029,2021-01-08T10:05:34,EMP-20046,Invoice Paid,Invoice,INV-2024-001794,178.133.59.30,Laptop,Hyderabad,Success,Medium,Invoice marked as paid
LOG-0000030,2021-01-08T10:34:42,EMP-20087,System Configuration Updated,Employee,EMP-20137,124.175.90.106,Laptop,Delhi,Success,Low,System configuration updated
LOG-0000031,2021-01-08T11:01:09,EMP-20077,Invoice Rejected,Invoice,INV-2026-001741,214.180.230.239,Laptop,Bengaluru,Warning,Low,Invoice rejected during review
LOG-0000032,2021-01-08T15:40:48,EMP-20056,Role Changed,Employee,EMP-20084,161.16.20.138,Desktop,Gurugram,Success,Low,Employee role changed
LOG-0000033,2021-01-08T16:24:40,EMP-20150,Invoice Approved,Invoice,INV-2023-002306,187.240.90.81,Desktop,Delhi,Success,Low,Invoice approved for payment
LOG-0000034,2021-01-08T17:05:54,EMP-20026,Payment Completed,Transaction,TXN-000632,40.55.36.83,Mobile,Delhi,Failed,Low,Payment completed successfully (failed)
LOG-0000035,2021-01-08T17:31:29,EMP-20006,Invoice Paid,Invoice,INV-2022-000733,55.242.204.28,Tablet,Gurugram,Success,Medium,Invoice marked as paid
LOG-0000036,2021-01-08T19:09:33,EMP-20040,Payment Reversed,Transaction,TXN-003340,104.101.16.18,Laptop,Gurugram,Success,Low,Payment reversed after compliance review
LOG-0000037,2021-01-09T09:14:19,EMP-20109,Purchase Order Submitted,Purchase Order,PO-2024-001197,144.4.17.3,Desktop,Delhi,Success,Low,Purchase order submitted for approval
LOG-0000038,2021-01-09T09:24:36,EMP-20059,System Configuration Updated,Employee,EMP-20099,161.69.71.179,Desktop,Mumbai,Success,Low,System configuration updated
LOG-0000039,2021-01-09T11:52:06,EMP-20060,Payment Initiated,Transaction,TXN-000137,12.121.135.160,Laptop,Chennai,Warning,Low,Payment initiated for processing
LOG-0000040,2021-01-09T12:20:49,EMP-20126,Purchase Order Rejected,Purchase Order,PO-2022-000383,25.29.235.72,Desktop,Pune,Failed,Low,Purchase order rejected (failed)
LOG-0000041,2021-01-09T12:41:28,EMP-20106,System Configuration Updated,Employee,EMP-20123,158.170.124.154,Laptop,Gurugram,Success,Medium,System configuration updated
LOG-0000042,2021-01-09T13:23:46,EMP-20111,Vendor Blacklisted,Vendor,VEN-100313,170.112.17.184,Desktop,Bengaluru,Failed,Low,Vendor marked as blacklisted (failed)
LOG-0000043,2021-01-09T17:02:55,EMP-20012,Vendor Created,Vendor,VEN-100356,126.201.5.198,Desktop,Pune,Success,Medium,New vendor profile created
LOG-0000044,2021-01-09T18:05:06,EMP-20142,Data Exported,Employee,EMP-20094,14.101.215.16,Desktop,Mumbai,Success,Low,Data export executed
LOG-0000045,2021-01-09T18:49:36,EMP-20060,Employee Created,Employee,EMP-20103,72.196.16.20,Desktop,Bengaluru,Success,Low,New employee record created
LOG-0000046,2021-01-10T08:44:12,EMP-20055,Invoice Rejected,Invoice,INV-2022-000945,104.44.33.226,Laptop,Gurugram,Success,Medium,Invoice rejected during review
LOG-0000047,2021-01-10T17:16:25,EMP-20096,Purchase Order Approved,Purchase Order,PO-2025-000713,112.53.39.204,Mobile,Hyderabad,Success,Low,PO approved successfully
LOG-0000048,2021-01-10T17:18:14,EMP-20146,Report Generated,Employee,EMP-20032,32.164.231.138,Desktop,Mumbai,Success,Low,Report generated successfully
LOG-0000049,2021-01-10T18:23:04,EMP-20135,Employee Updated,Employee,EMP-20057,41.115.115.187,Desktop,Delhi,Success,Low,Employee profile updated
LOG-0000050,2021-01-11T10:29:50,EMP-20023,Purchase Order Cancelled,Purchase Order,PO-2026-000974,167.137.146.67,Laptop,Noida,Success,Low,Purchase order cancelled
LOG-0000051,2021-01-11T11:39:08,EMP-20013,Payment Failed,Transaction,TXN-001856,150.244.18.85,Desktop,Noida,Success,Low,Payment attempt failed
LOG-0000052,2021-01-11T14:16:47,EMP-20064,Invoice Approved,Invoice,INV-2025-001086,122.0.210.191,Mobile,Chennai,Success,Medium,Invoice approved for payment
LOG-0000053,2021-01-11T16:58:32,EMP-20034,User Logout,Employee,EMP-20107,148.79.48.27,Desktop,Noida,Success,Medium,User session ended
LOG-0000054,2021-01-12T08:12:26,EMP-20009,Risk Score Generated,Vendor,VEN-100235,148.233.173.126,Desktop,Chennai,Success,Low,Risk score generated for vendor
LOG-0000055,2021-01-12T09:26:42,EMP-20078,User Login,Employee,EMP-20029,184.189.233.115,Laptop,Chennai,Success,Critical,User authenticated successfully
LOG-0000056,2021-01-12T13:57:56,EMP-20092,Payment Completed,Transaction,TXN-001836,69.4.39.97,Tablet,Chennai,Success,Low,Payment completed successfully
LOG-0000057,2021-01-12T17:09:37,EMP-20024,Employee Created,Employee,EMP-20138,64.63.163.140,Desktop,Hyderabad,Success,Medium,New employee record created
LOG-0000058,2021-01-12T17:18:46,EMP-20036,Payment Initiated,Transaction,TXN-003866,188.54.2.53,Laptop,Gurugram,Success,Low,Payment initiated for processing
LOG-0000059,2021-01-12T18:28:03,EMP-20131,Purchase Order Cancelled,Purchase Order,PO-2025-000091,159.189.147.141,Mobile,Gurugram,Success,Low,Purchase order cancelled
LOG-0000060,2021-01-12T19:34:55,EMP-20062,Payment Reversed,Transaction,TXN-002706,152.81.175.114,Laptop,Noida,Success,Medium,Payment reversed after compliance review
LOG-0000061,2021-01-13T08:47:54,EMP-20038,Vendor Updated,Vendor,VEN-100547,50.155.92.2,Mobile,Delhi,Failed,Low,Vendor profile updated (failed)
LOG-0000062,2021-01-13T09:25:16,EMP-20017,Purchase Order Approved,Purchase Order,PO-2026-001944,131.53.232.35,Desktop,Bengaluru,Success,Low,PO approved successfully
LOG-0000063,2021-01-13T10:16:57,EMP-20030,Password Changed,Employee,EMP-20133,117.153.166.74,Mobile,Noida,Success,Low,User password changed
LOG-0000064,2021-01-13T10:26:10,EMP-20088,Data Exported,Employee,EMP-20052,63.235.42.237,Desktop,Pune,Success,Critical,Data export executed
LOG-0000065,2021-01-13T10:34:50,EMP-20052,Compliance Check Executed,Transaction,TXN-001575,209.241.112.53,Desktop,Gurugram,Success,Medium,Compliance check executed
LOG-0000066,2021-01-13T12:45:20,EMP-20129,Transaction Created,Transaction,TXN-001938,32.217.122.224,Laptop,Noida,Success,Low,Transaction record created
LOG-0000067,2021-01-13T15:28:31,EMP-20134,Purchase Order Approved,Purchase Order,PO-2021-000508,93.166.223.67,Desktop,Noida,Success,Low,PO approved successfully
LOG-0000068,2021-01-13T16:17:52,EMP-20139,Employee Created,Employee,EMP-20024,105.73.242.79,Desktop,Gurugram,Success,Low,New employee record created
LOG-0000069,2021-01-13T19:38:44,EMP-20105,Payment Reversed,Transaction,TXN-002740,72.92.166.92,Desktop,Mumbai,Success,Critical,Payment reversed after compliance review
LOG-0000070,2021-01-14T08:08:32,EMP-20109,Purchase Order Approved,Purchase Order,PO-2023-001008,152.70.234.52,Desktop,Gurugram,Success,Medium,PO approved successfully
LOG-0000071,2021-01-14T10:57:24,EMP-20069,Role Changed,Employee,EMP-20107,219.113.145.150,Tablet,Bengaluru,Success,Medium,Employee role changed
LOG-0000072,2021-01-14T12:47:08,EMP-20035,Invoice Received,Invoice,INV-2025-000571,54.149.139.228,Desktop,Gurugram,Success,Medium,Invoice received from vendor
LOG-0000073,2021-01-14T13:41:47,EMP-20068,Vendor Updated,Vendor,VEN-100540,20.227.84.110,Laptop,Chennai,Success,Medium,Vendor profile updated
LOG-0000074,2021-01-14T15:55:34,EMP-20129,System Configuration Updated,Employee,EMP-20102,164.235.39.67,Laptop,Bengaluru,Success,Low,System configuration updated
LOG-0000075,2021-01-14T17:50:40,EMP-20001,Purchase Order Rejected,Purchase Order,PO-2021-000599,40.147.50.58,Desktop,Mumbai,Warning,Medium,Purchase order rejected
LOG-0000076,2021-01-15T08:17:45,EMP-20149,System Configuration Updated,Employee,EMP-20010,38.11.36.62,Desktop,Noida,Success,Critical,System configuration updated
LOG-0000077,2021-01-15T12:09:12,EMP-20036,Invoice Received,Invoice,INV-2025-001977,54.143.123.75,Desktop,Noida,Success,Low,Invoice received from vendor
LOG-0000078,2021-01-15T19:01:04,EMP-20150,Payment Reversed,Transaction,TXN-001326,69.216.100.248,Laptop,Gurugram,Warning,Low,Payment reversed after compliance review
LOG-0000079,2021-01-16T11:18:53,EMP-20081,Payment Completed,Transaction,TXN-001250,46.145.135.173,Tablet,Pune,Success,Low,Payment completed successfully
LOG-0000080,2021-01-17T10:32:40,EMP-20116,Vendor Updated,Vendor,VEN-100384,190.222.83.234,Desktop,Delhi,Warning,High,Vendor profile updated
LOG-0000081,2021-01-17T13:17:31,EMP-20083,Purchase Order Approved,Purchase Order,PO-2021-001805,138.48.53.133,Mobile,Gurugram,Success,Low,PO approved successfully
LOG-0000082,2021-01-17T16:07:08,EMP-20148,Vendor Blacklisted,Vendor,VEN-100270,120.176.251.203,Mobile,Delhi,Success,Low,Vendor marked as blacklisted
LOG-0000083,2021-01-17T18:07:45,EMP-20013,Risk Score Generated,Vendor,VEN-100634,75.242.15.233,Desktop,Bengaluru,Success,Low,Risk score generated for vendor
LOG-0000084,2021-01-18T13:59:17,EMP-20046,Invoice Rejected,Invoice,INV-2023-000458,67.46.122.149,Mobile,Gurugram,Success,Low,Invoice rejected during review
LOG-0000085,2021-01-18T15:06:46,EMP-20116,Risk Score Generated,Vendor,VEN-100298,122.156.94.81,Desktop,Mumbai,Success,Medium,Risk score generated for vendor
LOG-0000086,2021-01-18T18:20:17,EMP-20013,Transaction Created,Transaction,TXN-001618,29.188.103.242,Desktop,Hyderabad,Success,Medium,Transaction record created
LOG-0000087,2021-01-18T18:26:30,EMP-20015,Report Generated,Employee,EMP-20142,180.46.164.23,Desktop,Gurugram,Success,Low,Report generated successfully
LOG-0000088,2021-01-18T19:03:29,EMP-20092,Payment Reversed,Transaction,TXN-001751,155.178.10.180,Desktop,Hyderabad,Success,Medium,Payment reversed after compliance review
LOG-0000089,2021-01-18T19:14:47,EMP-20038,Compliance Check Executed,Transaction,TXN-000875,53.161.151.250,Laptop,Gurugram,Success,Low,Compliance check executed
LOG-0000090,2021-01-18T19:38:12,EMP-20038,Vendor Updated,Vendor,VEN-100707,124.242.145.148,Desktop,Delhi,Success,Medium,Vendor profile updated
LOG-0000091,2021-01-19T11:25:26,EMP-20055,Purchase Order Rejected,Purchase Order,PO-2024-000507,95.101.95.244,Laptop,Pune,Success,Low,Purchase order rejected
LOG-0000092,2021-01-19T18:17:17,EMP-20072,Policy Triggered,Transaction,TXN-003324,176.210.57.28,Desktop,Noida,Success,Low,Risk policy triggered
LOG-0000093,2021-01-20T08:27:08,EMP-20083,Payment Failed,Transaction,TXN-000121,200.41.8.152,Desktop,Gurugram,Success,Low,Payment attempt failed
LOG-0000094,2021-01-20T09:36:25,EMP-20109,Payment Reversed,Transaction,TXN-000440,63.12.206.224,Laptop,Mumbai,Success,Low,Payment reversed after compliance review
LOG-0000095,2021-01-20T15:27:13,EMP-20121,Invoice Rejected,Invoice,INV-2025-000378,87.119.224.123,Laptop,Noida,Success,Low,Invoice rejected during review
LOG-0000096,2021-01-20T15:46:56,EMP-20120,Purchase Order Cancelled,Purchase Order,PO-2025-000790,130.169.137.178,Laptop,Chennai,Success,Medium,Purchase order cancelled
LOG-0000097,2021-01-20T18:43:00,EMP-20065,Purchase Order Created,Purchase Order,PO-2023-000834,103.195.244.8,Desktop,Chennai,Failed,Low,Purchase order created (failed)
LOG-0000098,2021-01-21T08:34:03,EMP-20111,Compliance Check Executed,Transaction,TXN-000143,110.18.162.166,Desktop,Pune,Warning,High,High-risk transaction flagged for review
LOG-0000099,2021-01-21T10:10:42,EMP-20040,Policy Triggered,Transaction,TXN-000179,130.6.91.191,Desktop,Hyderabad,Failed,Critical,Critical compliance policy violation detected
LOG-0000100,2021-01-21T12:00:23,EMP-20058,Invoice Rejected,Invoice,INV-2024-000436,36.47.131.139,Desktop,Chennai,Success,High,Invoice rejected during review
LOG-0000101,2021-01-21T12:04:48,EMP-20134,Data Exported,Employee,EMP-20017,162.190.85.87,Laptop,Gurugram,Success,Low,Data export executed
LOG-0000102,2021-01-21T19:29:43,EMP-20150,Password Changed,Employee,EMP-20108,23.132.180.6,Laptop,Pune,Success,High,User password changed
LOG-0000103,2021-01-22T10:50:10,EMP-20118,System Configuration Updated,Employee,EMP-20085,76.2.45.3,Laptop,Chennai,Success,Low,System configuration updated
LOG-0000104,2021-01-22T11:33:43,EMP-20030,Purchase Order Rejected,Purchase Order,PO-2025-001724,204.253.96.71,Laptop,Mumbai,Success,Low,Purchase order rejected
LOG-0000105,2021-01-22T11:43:38,EMP-20055,Invoice Paid,Invoice,INV-2023-002565,53.203.120.216,Desktop,Mumbai,Success,Low,Invoice marked as paid
LOG-0000106,2021-01-22T13:32:19,EMP-20004,Purchase Order Cancelled,Purchase Order,PO-2021-000774,25.120.69.75,Desktop,Mumbai,Success,Medium,Purchase order cancelled
LOG-0000107,2021-01-22T13:35:51,EMP-20013,Role Changed,Employee,EMP-20138,193.8.15.20,Laptop,Noida,Success,Low,Employee role changed
LOG-0000108,2021-01-22T15:05:09,EMP-20006,System Configuration Updated,Employee,EMP-20104,81.45.48.183,Laptop,Gurugram,Success,Low,System configuration updated
LOG-0000109,2021-01-22T15:08:49,EMP-20026,Payment Initiated,Transaction,TXN-003606,49.133.250.220,Desktop,Bengaluru,Success,Low,Payment initiated for processing
LOG-0000110,2021-01-22T15:50:21,EMP-20076,Purchase Order Rejected,Purchase Order,PO-2022-001588,135.14.245.199,Desktop,Hyderabad,Success,Low,Purchase order rejected
LOG-0000111,2021-01-22T16:11:53,EMP-20034,Data Exported,Employee,EMP-20069,64.11.74.45,Laptop,Delhi,Success,Low,Data export executed
LOG-0000112,2021-01-22T19:16:59,EMP-20070,Vendor Blacklisted,Vendor,VEN-100607,215.206.21.167,Desktop,Chennai,Success,Medium,Vendor marked as blacklisted
LOG-0000113,2021-01-22T19:58:37,EMP-20140,Purchase Order Cancelled,Purchase Order,PO-2023-001484,211.232.220.91,Desktop,Pune,Success,Low,Purchase order cancelled
LOG-0000114,2021-01-23T13:27:02,EMP-20105,User Login,Employee,EMP-20137,110.94.159.16,Desktop,Hyderabad,Success,Medium,User authenticated successfully
LOG-0000115,2021-01-23T14:03:48,EMP-20104,Password Changed,Employee,EMP-20112,175.115.0.156,Mobile,Mumbai,Success,Low,User password changed
LOG-0000116,2021-01-24T13:40:04,EMP-20110,Policy Triggered,Transaction,TXN-002834,14.80.132.247,Desktop,Mumbai,Success,Low,Risk policy triggered
LOG-0000117,2021-01-24T19:45:44,EMP-20003,Invoice Received,Invoice,INV-2023-001489,24.30.122.247,Laptop,Hyderabad,Success,Low,Invoice received from vendor
LOG-0000118,2021-01-25T08:09:06,EMP-20036,Employee Created,Employee,EMP-20056,97.0.119.76,Laptop,Delhi,Success,Low,New employee record created
LOG-0000119,2021-01-25T11:14:48,EMP-20013,Role Changed,Employee,EMP-20033,141.225.213.160,Mobile,Pune,Warning,High,Unusual role escalation detected
LOG-0000120,2021-01-25T12:51:20,EMP-20137,Payment Failed,Transaction,TXN-000614,168.115.85.55,Laptop,Chennai,Success,Low,Payment attempt failed
LOG-0000121,2021-01-25T14:01:30,EMP-20008,Payment Reversed,Transaction,TXN-000386,82.33.50.213,Desktop,Gurugram,Success,Low,Payment reversed after compliance review
LOG-0000122,2021-01-25T14:05:03,EMP-20143,User Logout,Employee,EMP-20093,216.68.188.161,Laptop,Hyderabad,Success,Low,User session ended
LOG-0000123,2021-01-25T17:04:53,EMP-20101,Policy Triggered,Transaction,TXN-000578,107.157.71.106,Desktop,Delhi,Success,Medium,Risk policy triggered
LOG-0000124,2021-01-25T17:31:44,EMP-20062,Purchase Order Cancelled,Purchase Order,PO-2023-001034,96.218.102.45,Laptop,Delhi,Success,Medium,Purchase order cancelled
LOG-0000125,2021-01-26T10:13:19,EMP-20012,Purchase Order Created,Purchase Order,PO-2025-001791,139.82.161.190,Desktop,Pune,Success,Medium,Purchase order created
LOG-0000126,2021-01-26T14:25:20,EMP-20098,Invoice Rejected,Invoice,INV-2026-000728,30.86.194.212,Laptop,Chennai,Success,Medium,Invoice rejected during review
LOG-0000127,2021-01-26T15:03:22,EMP-20136,Invoice Paid,Invoice,INV-2023-001285,69.251.236.217,Mobile,Noida,Warning,Low,Invoice marked as paid
LOG-0000128,2021-01-26T16:31:56,EMP-20081,Transaction Created,Transaction,TXN-002817,208.11.69.202,Desktop,Noida,Success,Low,Transaction record created
LOG-0000129,2021-01-26T22:15:37,EMP-20011,User Login,Employee,EMP-20011,119.9.66.229,Laptop,Gurugram,Failed,High,Multiple failed login attempts detected
LOG-0000130,2021-01-27T11:02:53,EMP-20101,Data Exported,Employee,EMP-20050,45.110.15.9,Laptop,Bengaluru,Success,Medium,Data export executed
LOG-0000131,2021-01-27T15:09:05,EMP-20001,User Login,Employee,EMP-20150,54.53.20.162,Desktop,Mumbai,Success,Low,User authenticated successfully
LOG-0000132,2021-01-28T11:07:28,EMP-20074,Payment Completed,Transaction,TXN-000465,109.16.35.68,Desktop,Mumbai,Success,Low,Payment completed successfully
LOG-0000133,2021-01-28T11:23:48,EMP-20044,Payment Completed,Transaction,TXN-000876,144.131.102.148,Desktop,Noida,Success,Medium,Payment completed successfully
LOG-0000134,2021-01-28T12:40:31,EMP-20003,Invoice Verified,Invoice,INV-2024-001765,86.222.104.37,Laptop,Hyderabad,Success,Medium,Invoice verification completed
LOG-0000135,2021-01-28T13:02:02,EMP-20115,Purchase Order Approved,Purchase Order,PO-2021-001773,180.76.16.170,Desktop,Chennai,Success,High,PO approved successfully
LOG-0000136,2021-01-28T13:32:09,EMP-20043,Employee Created,Employee,EMP-20025,85.207.164.132,Laptop,Bengaluru,Success,Low,New employee record created
LOG-0000137,2021-01-28T14:25:09,EMP-20141,Vendor Updated,Vendor,VEN-100522,99.39.71.84,Laptop,Gurugram,Success,Low,Vendor profile updated
LOG-0000138,2021-01-28T16:49:44,EMP-20100,Policy Triggered,Transaction,TXN-001317,181.252.137.138,Laptop,Mumbai,Success,High,Risk policy triggered
LOG-0000139,2021-01-28T17:34:26,EMP-20075,Transaction Updated,Transaction,TXN-000845,133.241.19.77,Mobile,Mumbai,Success,Low,Transaction record updated
LOG-0000140,2021-01-29T10:25:06,EMP-20010,Data Exported,Employee,EMP-20007,93.4.83.3,Laptop,Gurugram,Success,High,Data export executed
LOG-0000141,2021-01-29T10:25:36,EMP-20063,Purchase Order Created,Purchase Order,PO-2025-001641,87.59.230.165,Laptop,Hyderabad,Success,Low,Purchase order created
LOG-0000142,2021-01-29T11:21:07,EMP-20088,User Logout,Employee,EMP-20107,88.234.139.227,Desktop,Noida,Success,Low,User session ended
LOG-0000143,2021-01-29T15:02:07,EMP-20138,Invoice Approved,Invoice,INV-2024-001127,43.61.22.80,Desktop,Chennai,Success,Low,Invoice approved for payment
LOG-0000144,2021-01-29T15:22:40,EMP-20072,Purchase Order Submitted,Purchase Order,PO-2025-001831,45.128.169.37,Laptop,Bengaluru,Success,Low,Purchase order submitted for approval
LOG-0000145,2021-01-29T15:43:34,EMP-20128,Password Changed,Employee,EMP-20023,167.121.195.119,Desktop,Gurugram,Success,Medium,User password changed
LOG-0000146,2021-01-29T18:21:23,EMP-20052,Invoice Approved,Invoice,INV-2023-000298,38.31.255.155,Desktop,Delhi,Success,Medium,Invoice approved for payment
LOG-0000147,2021-01-29T18:56:43,EMP-20035,Report Generated,Employee,EMP-20007,164.3.158.148,Mobile,Pune,Success,Medium,Report generated successfully
LOG-0000148,2021-01-29T19:35:15,EMP-20038,Password Changed,Employee,EMP-20098,205.249.71.73,Laptop,Bengaluru,Success,Low,User password changed
LOG-0000149,2021-01-30T10:05:25,EMP-20114,Payment Failed,Transaction,TXN-002680,192.96.127.170,Desktop,Mumbai,Success,High,Payment attempt failed
LOG-0000150,2021-01-30T11:34:26,EMP-20114,Employee Created,Employee,EMP-20098,190.239.84.185,Desktop,Chennai,Success,Low,New employee record created
LOG-0000151,2021-01-30T11:51:07,EMP-20138,Purchase Order Approved,Purchase Order,PO-2023-001348,195.212.209.222,Laptop,Chennai,Success,Low,PO approved successfully
LOG-0000152,2021-01-30T12:13:24,EMP-20004,Transaction Created,Transaction,TXN-000150,54.207.103.176,Laptop,Gurugram,Success,Low,Transaction record created
LOG-0000153,2021-01-30T18:37:37,EMP-20130,Invoice Verified,Invoice,INV-2025-002391,166.67.53.118,Laptop,Delhi,Success,Low,Invoice verification completed
LOG-0000154,2021-01-31T09:21:49,EMP-20046,Transaction Updated,Transaction,TXN-003350,148.224.59.246,Desktop,Chennai,Success,Medium,Transaction record updated
LOG-0000155,2021-01-31T09:34:55,EMP-20084,Payment Completed,Transaction,TXN-001310,69.29.151.214,Mobile,Pune,Success,Low,Payment completed successfully
LOG-0000156,2021-01-31T12:10:03,EMP-20053,User Login,Employee,EMP-20148,191.88.216.22,Desktop,Pune,Success,Medium,User authenticated successfully
LOG-0000157,2021-01-31T12:51:26,EMP-20104,Policy Triggered,Transaction,TXN-001349,174.104.248.114,Laptop,Delhi,Success,Medium,Risk policy triggered
LOG-0000158,2021-02-01T11:38:47,EMP-20014,Payment Failed,Transaction,TXN-003465,194.80.194.122,Laptop,Bengaluru,Success,Low,Payment attempt failed
LOG-0000159,2021-02-01T14:25:20,EMP-20029,Employee Updated,Employee,EMP-20019,23.35.33.20,Desktop,Delhi,Success,Low,Employee profile updated
LOG-0000160,2021-02-01T15:07:29,EMP-20055,Payment Failed,Transaction,TXN-003154,62.117.81.156,Desktop,Delhi,Success,Low,Payment attempt failed
LOG-0000161,2021-02-02T11:09:29,EMP-20033,Employee Updated,Employee,EMP-20094,42.83.249.108,Desktop,Chennai,Success,Low,Employee profile updated
LOG-0000162,2021-02-02T14:13:03,EMP-20050,Role Changed,Employee,EMP-20096,168.69.135.8,Desktop,Gurugram,Success,Low,Employee role changed
LOG-0000163,2021-02-02T17:55:21,EMP-20067,Report Generated,Employee,EMP-20073,82.89.64.93,Laptop,Chennai,Success,Low,Report generated successfully
LOG-0000164,2021-02-03T12:50:47,EMP-20016,Purchase Order Approved,Purchase Order,PO-2026-001528,186.44.133.44,Mobile,Chennai,Success,Low,PO approved successfully
LOG-0000165,2021-02-03T19:33:50,EMP-20089,Compliance Check Executed,Transaction,TXN-003477,109.140.31.61,Desktop,Mumbai,Success,Low,Compliance check executed
LOG-0000166,2021-02-04T09:55:32,EMP-20083,Employee Updated,Employee,EMP-20060,69.202.75.80,Laptop,Gurugram,Success,Medium,Employee profile updated
LOG-0000167,2021-02-04T11:01:11,EMP-20136,Payment Initiated,Transaction,TXN-001728,93.104.106.138,Laptop,Mumbai,Warning,Low,Payment initiated for processing
LOG-0000168,2021-02-04T12:52:58,EMP-20047,Invoice Received,Invoice,INV-2021-002449,53.58.208.232,Laptop,Mumbai,Success,Medium,Invoice received from vendor
